stamp,time,x,y,z,speed,course,runNum,latitude,longitude,altitude,epoch,timeDelta
2021-04-17 12:36:50,5.11,1597.57,994.17,303.61,0.126,0.0,0,47.453546667,-115.706413333,1566.32,1618688210.2215288,4.987
2021-04-17 12:36:54,9.624,1597.38,994.17,303.4,0.126,0.0,0,47.453546667,-115.706415,1566.11,1618688214.735467,4.514
2021-04-17 12:37:21,36.207,1597.38,994.36,303.31,0.026,18.67,0,47.453548333,-115.706415,1566.02,1618688241.3181396,26.583
2021-04-17 12:37:35,50.751,1597.2,994.36,303.28,0.126,0.0,0,47.453548333,-115.706416667,1565.99,1618688255.8623543,14.544
2021-04-17 12:37:45,60.785,1597.01,994.36,302.55,0.126,0.0,0,47.453548333,-115.706418333,1565.26,1618688265.8962324,10.034
2021-04-17 12:37:51,66.8,1597.01,994.54,303.06,0.185,0.0,0,47.45355,-115.706418333,1565.77,1618688271.9108639,6.015
2021-04-17 12:38:01,76.831,1596.83,994.54,304.22,0.126,0.0,0,47.45355,-115.70642,1566.93,1618688281.9421003,10.031
2021-04-17 12:38:08,83.854,1596.83,994.36,303.86,0.051,18.67,0,47.453548333,-115.70642,1566.57,1618688288.964682,7.023
2021-04-17 12:38:14,89.876,1596.64,994.36,304.59,0.126,0.0,0,47.453548333,-115.706421667,1567.3,1618688294.9866478,6.022
2021-04-17 12:38:17,92.886,1596.83,994.54,304.43,0.224,0.0,0,47.45355,-115.70642,1567.14,1618688297.9970489,3.01
2021-04-17 12:38:18,93.884,1596.64,994.54,304.38,0.126,0.0,0,47.45355,-115.706421667,1567.09,1618688298.9953904,0.998
2021-04-17 12:38:21,95.891,1596.83,994.54,304.47,0.126,0.0,0,47.45355,-115.70642,1567.18,1618688301.0021887,2.007
2021-04-17 12:39:06,141.03,1596.64,994.54,304.62,0.126,0.0,0,47.45355,-115.706421667,1567.33,1618688346.1407697,45.139
2021-04-17 12:39:25,160.59,1596.83,994.54,303.69,0.126,0.0,0,47.45355,-115.70642,1566.4,1618688365.7007892,19.56
